word-1 word-2 pair
1360000000 1610000000 191000000
6360000000 959000000 592000000
401000000 312000000 11700000
401000000 248000000 10500000
3150000000 959000000 298000000
1720000000 18020000000 546000000
1720000000 1610000000 121000000
562000000 3320000000 238000000
610000000 2670000000 177000000
551000000 1610000000 160000000
3590000000 1560000000 327000000
3070000000 5850000000 529000000
2420000000 875000000 158000000
2420000000 551000000 74400000
551000000 2670000000 257000000
12030000000 10300000000 5930000000
3400000000 118000000 64500000
3400000000 79300000 81400000
2240000000 1430000000 352000000
418000000 170000000 98200000
3330000000 1120000000 241000000
2670000000 1960000000 297000000
2670000000 89000000 33300000
612000000 938000000 201000000
13370000000 2670000000 2140000000
13370000000 3250000000 2030000000
7450000000 169000000 88700000
7560000000 1200000000 263000000
388000000 3580000000 109000000
34300000 9400000000 18500000
1610000000 1320000000 169000000
1610000000 2710000000 203000000
610000000 212000000 12800000
9270000000 6480000000 981000000
2250000000 12920000000 716000000
1480000000 1290000000 242000000
1480000000 3280000000 519000000
8030000000 1890000000 319000000
13080000000 1840000000 920000000
6460000000 9190000000 2420000000
6460000000 16250000000 4400000000
8790000000 580000000 1550000000
776000000 7130000000 480000000
4140000000 966000000 133000000
966000000 655000000 57200000
11570000000 8790000000 1910000000
15590000000 4430000000 2410000000
2960000000 8790000000 297000000
4380000000 770000000 323000000
770000000 6470000000 248000000
2120000000 981000000 338000000
2120000000 641000000 152000000
18400000 7320000000 7110000
5890000000 1370000000 297000000
10200000000 12590000000 8130000000
10200000000 4680000000 1800000000
10200000000 5710000000 1680000000
10200000000 7620000000 2670000000
7830000000 208000000 63600000
7830000000 10620000000 498000000
2480000000 11480000000 10600000000
8770000000 231000000 46400000
224000000 25270000000 145000000
17760000000 5780000000 896000000
17760000000 1310000000 743000000
139000000 9160000000 126000000
139000000 511000000 21400000
511000000 486000000 81000000
1040000000 10460000000 1660000000
34300000 2890000000 24700000
2890000000 7370000000 1550000000
1730000000 8770000000 214000000
1730000000 1310000000 101000000
1410000000 1310000000 155000000
1410000000 1990000000 1420000000
2090000000 451000000 218000000
2040000000 488000000 49400000
2090000000 1410000000 281000000
2090000000 1990000000 280000000
8050000000 7130000000 7320000000
7930000000 1640000000 2030000000
11480000000 7990000000 2280000000
7990000000 1500000000 381000000
3310000000 13040000000 2800000000
4850000000 11530000000 2590000000
9760000000 1310000000 764000000
1910000000 1810000000 45400000
1340000000 11030000000 1190000000
1950000000 5800000000 1540000000
15910000000 920000000 689000000
15910000000 11860000000 7890000000
423000000 386000000 45100000
15900000000 11130000000 5510000000
15900000000 467000000 207000000
1760000000 11130000000 1200000000
470000000 4290000000 259000000
470000000 11270000000 458000000
470000000 195000000 161000000
195000000 11270000000 184000000
195000000 2480000000 128000000
11260000000 3370000000 2480000000
22270000000 7650000000 1940000000
11760000000 20040000000 8460000000
11450000000 5460000000 2220000000
15900000000 3580000000 2230000000
1090000000 3580000000 202000000
3200000000 976000000 760000000
2570000000 404000000 27800000
16220000000 2690000000 1410000000
20210000000 6540000000 3550000000
6700000000 79900000 73000000
6700000000 13060000000 1420000000
20210000000 602000000 504000000
13060000000 4070000000 1710000000
4070000000 299000000 167000000
13060000000 18470000000 2690000000
18470000000 13860000000 23300000000
18470000000 421000000 216000000
753000000 14300000 11500000
646000000 1040000000 80100000
1040000000 7660000000 342000000
13290000000 1430000000 1330000000
2600000000 13290000000 1790000000
8720000000 2460000000 484000000
2800000000 9050000000 1900000000
633000000 28100000 3380000
890000000 724000000 71900000
678000000 16650000000 183000000
1120000000 8530000000 782000000
138000000 858000000 56000000
138000000 2380000000 38000000
5570000000 2190000000 1140000000
1110000000 204000000 180000000
11100000000 466000000 367000000
12580000000 6840000000 10970000000
1040000000 8360000000 192000000
1200000000 1830000000 201000000
3230000000 4630000000 324000000
1720000000 7660000000 283000000
8030000000 4280000000 644000000
11620000000 36000000 35400000
9330000000 3230000000 1120000000
1530000000 16860000000 1140000000
8530000000 7790000000 928000000
9520000000 10780000000 4060000000
10780000000 9450000000 2530000000
7590000000 11540000000 3380000000
688000000 11540000000 598000000
2460000000 151000000 47200000
476000000 137000000 8820000
1630000000 40400000 7540000
7020000000 1240000000 791000000
1920000000 2600000000 313000000
1200000000 10200000000 257000000
6800000000 15240000000 4430000000
680000000 15240000000 147000000
1230000000 4920000000 264000000
1530000000 95300000 7210000
1530000000 556000000 42900000
2690000000 849000000 526000000
525000000 11790000000 346000000
420000000 10870000000 265000000
10200000000 1910000000 557000000
